word,word_type,pos,pronunciation,english_title,brief_meaning,excluded_meaning,example,spacing_allowed,difficulty,culture_tags,priority,reason
낭만,word,명사,Nangman,Romance / Romanticism,감정적이고 이상적인 분위기,-,비 오는 날 창가에 앉아 커피를 마시는 것도 낭만이다.,true,intermediate,감정|분위기|이상,11,감정적이고 이상적인 분위기
충,word,명사,Chung,Loyalty / Patriotism,나라나 임금 등에 충성을 다함,곤충/벌레(충) 의미 제외,나라에 충을 다하다.,true,advanced,전통|가치|충성,12,나라나 임금 등에 충성을 다함
권선징악,word,명사,Gwonseonjingak,Poetic Justice,선을 권하고 악을 벌함,-,고전 소설은 대부분 권선징악의 주제를 담고 있다.,true,advanced,도덕|이야기|사자성어,13,선을 권하고 악을 벌함
출세,word,명사,Chulse,Success in Life,사회적으로 높은 지위에 오름,-,그는 고향을 떠나 서울에서 크게 출세했다.,true,intermediate,사회|성공|지위,14,사회적으로 높은 지위에 오름
궁합,word,명사,Gunghap,Compatibility / Chemistry,서로 잘 맞는 정도,-,이 두 음식은 맛의 궁합이 아주 좋다.,true,intermediate,관계|조화|궁합,15,서로 잘 맞는 정도
억울하다,word,형용사,Eogulhada,Unfair / Falsely Accused,잘못 없이 피해를 입어 답답함,-,하지도 않은 일로 오해를 받아 너무 억울하다.,true,intermediate,감정|갈등|공정성,16,잘못 없이 피해를 입어 답답함
아쉽다,word,형용사,Aswipta,Regrettable / Lacking,부족하거나 미련이 남는 감정,-,여행이 벌써 끝나다니 참 아쉽다.,true,intermediate,감정|미련|상황,17,부족하거나 미련이 남는 감정
섭섭하다,word,형용사,Seopseophada,Disappointed / Sad,서운하고 아쉬운 감정,-,제대로 인사도 못 하고 헤어져서 섭섭하다.,true,intermediate,감정|관계|아쉬움,18,서운하고 아쉬운 감정
민망하다,word,형용사,Minmanghada,Embarrassed / Awkward,어색하거나 부끄러운 감정,-,사람들이 다 쳐다봐서 얼굴이 화끈거리고 민망했어.,true,intermediate,감정|사회상황|부끄러움,19,어색하거나 부끄러운 감정
무안하다,word,형용사,Muanhada,Ashamed / Embarrassed,창피해서 얼굴 들기 어려운 감정,-,반갑게 인사했는데 모른 척해서 무안했다.,true,intermediate,감정|체면|부끄러움,20,창피해서 얼굴 들기 어려운 감정
답답하다,word,형용사,Dapdaphada,Frustrated / Stuffy,마음이나 상황이 막힌 느낌,물리적으로 좁아 숨막힘 제외,일이 마음대로 안 풀려서 속이 답답하다.,true,intermediate,감정|상황|소통,21,마음이나 상황이 막힌 느낌
야속하다,word,형용사,Yasokhada,Cold-hearted / Resentful,상대가 매정하게 느껴져 서운함,-,내 마음도 몰라주는 네가 오늘따라 야속하다.,true,advanced,감정|관계|실망,22,상대가 매정하게 느껴져 서운함
그립다,word,형용사,Geuripta,Missing / Longing for,보고 싶고 만나고 싶은 마음,-,어린 시절 친구들과 뛰어놀던 고향이 그립다.,true,intermediate,감정|기억|그리움,23,보고 싶고 만나고 싶은 마음
애틋하다,word,형용사,Aeteuthada,Fond / Deeply Affectionate,안타까움과 소중함이 섞인 감정,-,두 사람의 애틋한 사연에 모두가 눈물을 흘렸다.,true,advanced,감정|관계|소중함,24,안타까움과 소중함이 섞인 감정
정겹다,word,형용사,Jeonggyeopda,Warm and Friendly,정이 느껴질 만큼 다정함,-,시골 장터의 정겨운 풍경이 마음에 든다.,true,advanced,감정|분위기|친근함,25,정이 느껴질 만큼 다정함
괜히,word,부사,Gwaenhi,Pointlessly / For nothing,특별한 이유 없이,-,괜히 화를 낸 것 같아 미안해.,true,intermediate,뉘앙스|감정|구어체,26,특별한 이유 없이
챙기다,word,동사,Chaenggida,To take care of / To pack,필요한 것을 살피고 돌봄,물건을 훔치거나 빼돌리는 의미 제외,바빠도 끼니는 꼭 챙겨 먹어라.,true,intermediate,돌봄|일상|배려,27,필요한 것을 살피고 돌봄
신경 쓰다,expression,구,Singyeong sseuda,To care / To pay attention,세심하게 살피거나 마음을 씀,생물학적 '신경(nerve)' 의미 제외,괜히 남 눈치 보지 말고 네 일에 신경 써.,true,intermediate,관심|배려|부담,28,세심하게 살피거나 마음을 씀
흥겹다,word,형용사,Heunggyeopda,Joyful / Excited,흥이 나서 즐거움,-,사람들은 흥겨운 음악에 맞춰 춤을 추었다.,true,intermediate,감정|즐거움|분위기,29,흥이 나서 즐거움
눈치,word,명사,Nunchi,Social Sense / Tact,말하지 않아도 상황과 마음을 읽는 능력,-,그는 눈치가 빨라서 분위기 파악을 잘한다.,true,intermediate,관계|상황판단|사회생활,30,말하지 않아도 상황과 마음을 읽는 능력
